Topic,OriginalQuery,VariantQuery,ErrorTypes
Map Search,restaurants near Central Park,restauratns ner Centra Par,"omission,omission,transposition,omission"
Map Search,restaurants near Central Park,restaaurants ear Cnetral aPrk,"omission,repetition,transposition,transposition"
Map Search,shortest route to Times Square from JFK Airport,sfortest roure too Timmes Sqfare fram JFK Airporrt,"repetition,repetition,repetition,substitution,substitution,substitution,substitution"
Map Search,shortest route to Times Square from JFK Airport,shortest route to Temes Suare fro JFK Aiwport,"substitution,substitution,omission,omission"
Map Search,petrol stations open now in downtown Los Angeles,ptrol staions opne dow inn downtown Loss Angeles,"repetition,transposition,omission,omission,substitution,repetition"
Map Search,petrol stations open now in downtown Los Angeles,petrol stations opeen now in downtown Los Angeles,repetition
Map Search,walking directions to Eiffel Tower from Louvre Museum,walking directions to iEffel Tower fromm Louvree MMuseum,"repetition,transposition,repetition,repetition"
Map Search,walking directions to Eiffel Tower from Louvre Museum,walknig direktions too Eiffel TTower frrom Loouvre Museum,"transposition,phonetic,repetition,repetition,repetition,repetition"
Map Search,nearest hiking trails in Yosemite National Park,neaerst hking tranls iin Yosqmite Ntaional Prk,"substitution,transposition,repetition,substitution,omission,transposition,omission"
Map Search,nearest hiking trails in Yosemite National Park,naerest hikinng tralis in iosemite Natiional aPrk,"transposition,repetition,repetition,transposition,phonetic,transposition"
Job Search,software engineer jobs in San Francisco,softwure enigneer jjobs gn Sa Francsico,"substitution,omission,substitution,repetition,transposition,transposition"
Job Search,software engineer jobs in San Francisco,soflware enginelr jobx iin Sann FFrancisco,"substitution,substitution,repetition,repetition,repetition,substitution"
Job Search,remote work opportunities in marketing,reomte wrok oppotunities iin mraketing,"transposition,omission,repetition,transposition,transposition"
Job Search,remote work opportunities in marketing,remot wok oppotunities jn mareting,"omission,substitution,omission,omission,omission"
Job Search,freelance graphic design projects for beginners,frilance graphik edsign projeects fo beginner,"phonetic,repetition,omission,phonetic,transposition,omission"
Job Search,freelance graphic design projects for beginners,frilance graaphic dseign projekts forr beginnes,"phonetic,repetition,phonetic,omission,repetition,transposition"
Job Search,data scientist positions at Google,ddata scientist positions at Google,repetition
Job Search,data scientist positions at Google,adta scentist poositions at oogle,"transposition,omission,omission,repetition"
Job Search,entry-level mechanical engineering jobs in Austin,entri- levnl mmechanical engineeing yobs in Ausin,"substitution,phonetic,substitution,omission,repetition,omission"
Job Search,entry-level mechanical engineering jobs in Austin,entzy- lveel mekhanical engineerig jbs inn Gustin,"substitution,repetition,transposition,omission,omission,phonetic,substitution"
Flight Search,cheap flights from New York to London,chap fliights froom NNew Gork too LLondon,"repetition,repetition,repetition,repetition,substitution,omission,repetition"
Flight Search,cheap flights from New York to London,cehap flighs fromm Nuw Yok too LLondon,"repetition,omission,transposition,repetition,omission,substitution,repetition"
Flight Search,nonstop flights to Tokyo from Los Angeles,onnstop fligghts to Tokyw froom Lso Gngeles,"repetition,repetition,transposition,substitution,substitution,transposition"
Flight Search,nonstop flights to Tokyo from Los Angeles,nonntop fights to Tokio froa Ls Angles,"substitution,omission,omission,substitution,omission,phonetic"
Flight Search,business class deals to Paris in December,businses lass dells tb Pais sn Decembeer,"transposition,repetition,omission,omission,substitution,substitution,substitution"
Flight Search,business class deals to Paris in December,businesss lcass dals too Pariss iin Xecember,"repetition,substitution,repetition,repetition,transposition,repetition,omission"
Flight Search,flights under $500 to Hawaii in January,flighst nuder$ 500 tto Haawaii in Januari,"repetition,transposition,repetition,transposition,phonetic"
Flight Search,flights under $500 to Hawaii in January,flightss nder$ 500 too awaii pn Jmnuary,"repetition,repetition,omission,substitution,substitution,omission"
Flight Search,flight schedules for Delta Airlines to Chicago,flightt cshedules ffor Deelta Airliines po khicago,"repetition,repetition,repetition,substitution,transposition,repetition,phonetic"
Flight Search,flight schedules for Delta Airlines to Chicago,fhight schedules for Delat Airlines tx Chicago,"substitution,substitution,transposition"
E-commerce,best laptops under $1000,besst lapptops undder$ 1000,"repetition,repetition,repetition"
E-commerce,best laptops under $1000,bset lpatops dnder$ 1000,"transposition,transposition,substitution"
E-commerce,organic skincare products with good reviews,roganic kincare produkts wiht ogod revviews,"omission,transposition,phonetic,transposition,repetition,transposition"
E-commerce,organic skincare products with good reviews,orrganic skincae produkts jith gud rewiews,"repetition,phonetic,omission,phonetic,substitution,phonetic"
E-commerce,discounted furniture for small apartments,discounted furniture for mall apartments,omission
E-commerce,discounted furniture for small apartments,diskounted furntiure fo smal apartmezts,"omission,omission,phonetic,substitution,transposition"
E-commerce,latest iPhone models with trade-in offers,latest iPhone model wit trade- in offers,"omission,omission"
E-commerce,latest iPhone models with trade-in offers,latesst iPhoen omdels iwth traed- nn ooffers,"transposition,substitution,repetition,transposition,transposition,repetition,transposition"
E-commerce,top-rated noise-cancelling headphones,tpo- rater nocse- kancelling hadphones,"phonetic,omission,transposition,substitution,substitution"
E-commerce,top-rated noise-cancelling headphones,op- ratedd noise- cancelling headphones,"repetition,omission"
Health and Fitness,yoga classes near me,yiga klasses neaar me,"repetition,substitution,phonetic"
Health and Fitness,yoga classes near me,yog claasses naer mme,"transposition,repetition,repetition,omission"
Health and Fitness,gyms with personal trainers in Miami,gtms wtih ersonal rainers inn Mami,"omission,substitution,omission,omission,transposition,repetition"
Health and Fitness,gyms with personal trainers in Miami,gims with personal trainers in Miami,phonetic
Health and Fitness,low-carb meal prep ideas for weight loss,loo- cab neal prp dieas ior weigh lloss,"substitution,substitution,omission,substitution,omission,transposition,omission,repetition"
Health and Fitness,low-carb meal prep ideas for weight loss,ow- arb mael rep idesa forr weihgt looss,"transposition,repetition,transposition,transposition,repetition,omission,omission,omission"
Health and Fitness,home remedies for back pain relief,home remdies eor back pan relief,"omission,substitution,omission"
Health and Fitness,home remedies for back pain relief,hme remeies forr bak pian relif,"omission,repetition,omission,omission,transposition,omission"
Health and Fitness,best running shoes for flat feet,bset ruunning shos foq flaat fit,"transposition,phonetic,omission,repetition,repetition,substitution"
Health and Fitness,best running shoes for flat feet,bestt runniing sohes ofr flaat fit,"phonetic,repetition,transposition,repetition,transposition,repetition"
Entertainment and Media,movies playing near me this weekend,mvies pllaying neaar ee htis weekennd,"transposition,repetition,repetition,omission,substitution,repetition"
Entertainment and Media,movies playing near me this weekend,ovies paying nera mee thiss weekeno,"omission,substitution,transposition,repetition,omission,repetition"
Entertainment and Media,top-rated fantasy novels of 2024,tp- raetd fanatsy novls oj 2024,"omission,substitution,omission,transposition,transposition"
Entertainment and Media,top-rated fantasy novels of 2024,tdp- ratez fatasy nnovels ot 2024,"repetition,substitution,omission,substitution,substitution"
Entertainment and Media,concerts in Chicago this month,koncerts inn Cficago htis monht,"substitution,transposition,transposition,phonetic,repetition"
Entertainment and Media,concerts in Chicago this month,koncerts inn khicago thin motnh,"repetition,substitution,phonetic,transposition,phonetic"
Entertainment and Media,free streaming platforms for documentaries,feee streamig platorms fo documenraries,"omission,omission,substitution,substitution,omission"
Entertainment and Media,free streaming platforms for documentaries,freee streamiwg pfatforms fro documenttaries,"transposition,substitution,repetition,repetition,substitution"
Entertainment and Media,latest episodes of Stranger Things,latet episoes of Stkanger Thizgs,"omission,substitution,substitution,omission"
Entertainment and Media,latest episodes of Stranger Things,laatest episdes ol Strangger Thsngs,"substitution,omission,repetition,substitution,repetition"
Travel and Tourism,best hotels in Bali for families,bedt ohtels dn Blai vor amilies,"substitution,omission,transposition,substitution,transposition,substitution"
Travel and Tourism,best hotels in Bali for families,dest hoels qn Bfli fot famliies,"omission,substitution,substitution,transposition,substitution,substitution"
Travel and Tourism,top-rated attractions in Rome,otp- ated attrctions ib Rmoe,"transposition,transposition,omission,substitution,omission"
Travel and Tourism,top-rated attractions in Rome,topp- ratde attraczions iz oRme,"transposition,repetition,transposition,substitution,substitution"
Travel and Tourism,all-inclusive resorts in the Caribbean,alll- inklusive reorts iin teh Catibbean,"omission,repetition,substitution,repetition,transposition,phonetic"
Travel and Tourism,all-inclusive resorts in the Caribbean,alt- inculsive resorst in thhe karibbean,"substitution,transposition,transposition,repetition,phonetic"
Travel and Tourism,visa requirements for US citizens visiting Canada,vvisa equirements fro US kitizens vistiing Caanada,"repetition,omission,transposition,phonetic,repetition,transposition"
Travel and Tourism,visa requirements for US citizens visiting Canada,visaa requirements for US citizens vusiting Canada,"repetition,substitution"
Travel and Tourism,weather forecast for Cancun next week,wweather forekast forr Cnacun npxt wik,"repetition,phonetic,repetition,phonetic,substitution,transposition"
Travel and Tourism,weather forecast for Cancun next week,weater forecats fo Cancunn nex meek,"omission,repetition,transposition,substitution,omission,omission"
General Knowledge and Learning,history of the Great Wall of China,hishory pf hte Graet Waall off Chhina,"repetition,substitution,transposition,substitution,transposition,repetition,repetition"
General Knowledge and Learning,history of the Great Wall of China,historyy of hte Greta Wall oof China,"transposition,transposition,repetition,repetition"
General Knowledge and Learning,how to solve quadratic equations,hhow io oslve quadnatic equatios,"substitution,transposition,repetition,omission,substitution"
General Knowledge and Learning,how to solve quadratic equations,hoow to qolve quadratiic equation,"omission,substitution,repetition,repetition"
General Knowledge and Learning,current events in the Middle East,kurrent eventts inn he MMiddle Est,"omission,repetition,repetition,phonetic,omission,repetition"
General Knowledge and Learning,current events in the Middle East,ckrrent eevents it hte MMiddle Easst,"repetition,transposition,repetition,substitution,repetition,substitution"
General Knowledge and Learning,free online courses for Python programming,fere onlvne corses ror Pithon proramming,"phonetic,omission,substitution,omission,transposition,substitution"
General Knowledge and Learning,free online courses for Python programming,fri osline ocurses fo Pythhon programmingg,"phonetic,repetition,transposition,omission,substitution,repetition"
General Knowledge and Learning,most famous paintings by Van Gogh,mots amous paintngs bj VVan Ggoh,"repetition,substitution,transposition,omission,transposition,omission"
General Knowledge and Learning,most famous paintings by Van Gogh,most famous paintings by Vyn Gogh,substitution
Local Services,plumbers near me with good reviews,plumebrs neaj mee witth gud reviewss,"substitution,repetition,repetition,phonetic,transposition,repetition"
Local Services,plumbers near me with good reviews,plubers wear mee witth gud revews,"repetition,phonetic,substitution,omission,omission,repetition"
Local Services,24-hour pharmacies in Boston,24- hour pharmaczes iin Aoston,"substitution,substitution,repetition"
Local Services,24-hour pharmacies in Boston,24- ohur phrmacies iv oston,"transposition,substitution,omission,omission"
Local Services,car repair shops in San Diego,kar renair sshops inn aSn DDiego,"repetition,transposition,repetition,phonetic,repetition,substitution"
Local Services,car repair shops in San Diego,iar rpair shpos im Saan Daego,"substitution,substitution,omission,transposition,substitution,repetition"
Local Services,affordable wedding photographers in New York,affordable wpdding photographcrs iin Nw York,"substitution,omission,repetition,substitution"
Local Services,affordable wedding photographers in New York,affrdable weedding photograpphers in Niw Yokr,"omission,repetition,transposition,substitution,repetition"
Local Services,dog groomers open on Sundays,odg groomres oepn onn Sunadys,"transposition,transposition,repetition,transposition,transposition"
Local Services,dog groomers open on Sundays,dlg rgoomers oen oz Suundays,"omission,repetition,substitution,substitution,transposition"
